family,genus,species
Haemulidae,Anisotremus,Anisotremus davidsonii
Latilidae,Caulolatilus,Caulolatilus princeps
Pomacentridae,Chromis,Chromis punctipinnis
Embiotocidae,Embiotoca,Embiotoca jacksoni
Girellidae,Girella,Girella nigricans
Labridae,Halichoeres,Halichoeres semicinctus
Heterodontidae,Heterodontus,Heterodontus francisci
Pomacentridae,Hypsypops,Hypsypops rubicundus
Serranidae,Mycteroperca,Mycteroperca jordani
Serranidae,Mycteroperca,Mycteroperca xenarcha
Hexagrammidae,Ophiodon,Ophiodon elongatus
Labridae,Oxyjulis,Oxyjulis californica
Serranidae,Paralabrax,Paralabrax clathratus
Serranidae,Paralabrax,Paralabrax nebulifer
Embiotocidae,Rhacochilus,Rhacochilus vacca
Cottidae,Scorpaenichthys,Scorpaenichthys marmoratus
Sebastidae,Sebastes,Sebastes spp
Labridae,Semicossyphus,Semicossyphus pulcher
Squatinidae,Squatina,Squatina californica
Polyprionidae,Stereolepis,Stereolepis gigas
Rhinobatidae,Rhinobatos,Rhinobatos productus
Serranidae,Mycteroperca,Mycteroperca spp
Sebastidae,Sebastes,Sebastes auriculatus
Sebastidae,Sebastes,Sebastes carnatus
Sebastidae,Sebastes,Sebastes chrysomelas
Sebastidae,Sebastes,Sebastes flavidus
Sebastidae,Sebastes,Sebastes rastrelliger
Sebastidae,Sebastes,Sebastes serranoides
Sparidae,Calamus,Calamus brachysomus
Pomacanthidae,Holacanthus,Holacanthus passer
Serranidae,Epinephelus,Epinephelus analogus
Serranidae,Paralabrax,Paralabrax maculatofasciatus
Pomacanthidae,Pomacanthus,Pomacanthus zonipectus
Chaetodontidae,Chaetodon,Chaetodon humeralis
Pomacentridae,Chromis,Chromis atrilobata
Chaetodontidae,Johnrandallia,Johnrandallia nigrirostris
Scaridae,Nicholsina,Nicholsina denticulata
Serranidae,Mycteroperca,Mycteroperca rosacea
Mullidae,Mulloidichthys,Mulloidichthys dentatus
Zanclidae,Zanclus,Zanclus cornutus
Sebastidae,Sebastes,Sebastes rufus
Sebastidae,Sebastes,Sebastes atrovirens
Serranidae,Mycteroperca,Mycteroperca prionura
Scorpaenidae,Scorpaena,Scorpaena mystes
Tetraodontidae,Sphoeroides,Sphoeroides annulatus
Sebastidae,Sebastes,Sebastes caurinus
Sebastidae,Sebastes,Sebastes pinniger
Urotrygonidae,Urobatis,Urobatis concentricus
Labridae,Halichoeres,Halichoeres dispilus
Tetraodontidae,Sphoeroides,Sphoeroides lobatus
Haemulidae,Anisotremus,Anisotremus interruptus
Scorpididae,Medialuna,Medialuna californiensis
Balistidae,Balistes,Balistes polylepis
Haemulidae,Haemulon,Haemulon californiensis
Diodontidae,Diodon,Diodon holocanthus
Haemulidae,Xenistius,Xenistius californiensis
Sphyraenidae,Sphyraena,Sphyraena lucasana
Labridae,Bodianus,Bodianus diplotaenia
Haemulidae,Haemulon,Haemulon flaviguttatum
Labridae,Halichoeres,Halichoeres nicholsi
Pomacentridae,Stegastes,Stegastes rectifraenum
Pomacentridae,Abudefduf,Abudefduf troschelii
Serranidae,Serranus,Serranus psittacinus
Girellidae,Girella,Girella simplicidens
Haemulidae,Haemulon,Haemulon steindachneri
Labridae,Halichoeres,Halichoeres notospilus
Urotrygonidae,Urobatis,Urobatis spp
Lutjanidae,Lutjanus,Lutjanus argentiventris
Lutjanidae,Lutjanus,Lutjanus novemfasciatus
Serranidae,Cephalopholis,Cephalopholis panamensis
Labridae,Halichoeres,Halichoeres chierchiae
Haemulidae,Haemulon,Haemulon maculicauda
Kyphosidae,Kyphosus,Kyphosus analogus
Labridae,Thalassoma,Thalassoma lucasanum
Cirrhitidae,Cirrhitus,Cirrhitus rivulatus
Tetraodontidae,Canthigaster,Canthigaster punctatissima
Cirrhitidae,Cirrhitichthys,Cirrhitichthys oxycephalus
Muraenidae,Muraena,Muraena lentiginosa
Serranidae,Paranthias,Paranthias colonus
Haemulidae,Haemulon,Haemulon sexfasciatum
Scaridae,Scarus,Scarus perrico
Serranidae,Epinephelus,Epinephelus labriformis
Serranidae,Alphestes,Alphestes immaculatus
Sciaenidae,Pareques,Pareques fuscovittatus
Blenniidae,Ophioblennius,Ophioblennius steindachneri
Pomacentridae,Microspathodon,Microspathodon dorsalis
Acanthuridae,Prionurus,Prionurus punctatus
Balistidae,Sufflamen,Sufflamen verres
Pomacentridae,Chromis,Chromis limbaughi
Fistulariidae,Fistularia,Fistularia commersonii
Diodontidae,Diodon,Diodon hystrix
Apogonidae,Apogon,Apogon retrosella
Muraenidae,Gymnothorax,Gymnothorax castaneus
Apogonidae,Apogon,Apogon pacificus
Scaridae,Scarus,Scarus ghobban
Scaridae,Scarus,Scarus compressus
Carangidae,Seriola,Seriola lalandi
Pomacentridae,Stegastes,Stegastes acapulcoensis
Narcinidae,Diplobatis,Diplobatis ommata
Narcinidae,Narcine,Narcine entemedor
Serranidae,Paralabrax,Paralabrax auroguttatus
Lutjanidae,Hoplopagrus,Hoplopagrus guentherii
Carangidae,Caranx,Caranx caballus
Kyphosidae,Kyphosus,Kyphosus azurea
Gobiidae,Lythrypnus,Lythrypnus dalli
Tripterygiidae,Crocodilichthys,Crocodilichthys gracilis
Dasyatidae,Dasyatis,Dasyatis dipterura
Kyphosidae,Kyphosus,Kyphosus spp
Gobiidae,Elacatinus,Elacatinus puncticulatus
Muraenidae,Gymnothorax,Gymnothorax dovii
Labridae,Halichoeres,Halichoeres melanotis
Labridae,Halichoeres,Halichoeres spp
Haemulidae,Microlepidotus,Microlepidotus inornatus
Holocentridae,Myripristis,Myripristis leiognathus
Rhinobatidae,Pseudobatos,Pseudobatos productus
Scaridae,Scarus,Scarus rubroviolaceus
Pomacentridae,Stegastes,Stegastes flavilatus
Labridae,Thalassoma,Thalassoma grammaticum
Pomacanthidae,Holacanthus,Holacanthus clarionensis
Kyphosidae,Kyphosus,Kyphosus elegans
Lutjanidae,Lutjanus,Lutjanus viridis
Haemulidae,Haemulon,Haemulon spp
Scombridae,Scomberomorus,Scomberomorus sierra
Pomacentridae,Chromis,Chromis spp
Serranidae,Cephalopholis,Cephalopholis cruentata
Lutjanidae,Lutjanus,Lutjanus apodus
Labridae,Lachnolaimus,Lachnolaimus maximus
Scaridae,Sparisoma,Sparisoma viride
Lutjanidae,Lutjanus,Lutjanus griseus
Chaetodontidae,Chaetodon,Chaetodon spp
Acanthuridae,Acanthurus,Acanthurus spp
