carapace_length,sex
72.5,h
79.5,h
80.1,m
82.9,h
83.3,h
85,h
85.7,m
86.4,m
86.5,h
87.4,h
87.5,h
88,m
89.9,m
90.4,h
90.7,m
90.8,h
91.1,m
91.7,m
91.8,m
92.8,m
93,m
93.9,h
94.2,m
94.3,h
94.5,h
94.5,m
95.01,h
95.2,h
95.6,h
95.7,h
96.7,m
97.4,m
99.3,m
99.3,m
99.8,h
99.9,m
101.4,m
102.3,m
103.4,h
104,h
105,h
106.2,h
110.4,m
111.05,h
113,h
113.5,h
113.8,m
114.2,m
115.1,m
118.5,h
120,m
122.1,h
122.9,m
123.4,m
134,m
136.3,m
140.6,m
144.7,m
147,m
147,m
147.6,m
150.5,h
151.1,m
55.7,h
59.1,h
61.8,m
63.6,m
63.7,h
63.7,h
64.8,h
65,h
65,h
65.7,m
66.7,m
66.8,m
67.1,m
68.3,h
68.8,m
69.6,h
70.1,h
70.6,h
71.1,m
71.7,m
71.8,m
72,m
73.8,h
73.9,h
74.6,h
74.7,h
74.8,m
74.9,m
75,h
75,h
75,h
75,m
75.7,h
76.9,m
78.5,h
78.5,h
78.6,h
78.9,h
79.3,h
79.3,m
80,m
80.6,m
80.7,m
80.7,m
80.8,h
80.8,h
81,h
81.5,m
81.7,h
82.4,m
82.7,m
82.8,h
83,m
84,m
85.5,h
85.5,h
85.6,h
85.9,h
86.2,m
86.3,m
86.9,m
87.8,m
87.9,m
88.5,m
88.9,m
89.7,h
89.8,h
90.6,h
90.8,m
90.9,m
91.6,m
92,h
92,h
92,h
92.4,h
92.5,h
92.8,m
94,m
94,m
95.7,h
96,m
96.8,m
96.9,m
97,m
97.2,m
97.8,m
98,h
98,m
98.8,m
98.9,m
98.9,m
99.5,h
99.7,h
99.7,m
102,m
104,h
104.5,h
105.1,m
106.5,m
109.5,h
109.6,m
110,m
110.9,m
116,m
117.9,m
119.2,m
122.4,h
125.8,m
126.6,m
128.9,h
